text	gloss	category
chờ một chút tôi xin lỗi	CHỜ MỘT CHÚT TÔI XIN LỖI	Cuộc sống thường nhật
thật sao thôi nào tôi sẽ giới thiệu họ cho bạn	THẬT THÔI NÀO TÔI GIỚI THIỆU CHO BẠN	Mối quan hệ
có chúng tôi có các mẫu miễn phí cho khách hàng và bạn có thể thử	VÂNG CHÚNG TÔI CÓ MẪU DÙNG THỬ CHO KHÁCH BẠN CÓ THỂ THỬ XEM	Công việc
việc đun nấu hàng ngày tốn khá nhiều thời gian của mẹ tôi	MẸ TÔI NẤU NƯỚNG HÀNG NGÀY THỜI GIAN DÀNH NHIỀU	Cuộc sống thường nhật
bạn muốn bắt đầu với bông hoa nào trước	BẠN BÔNG HOA BẮT ĐẦU TRƯỚC MUỐN NÀO	Cuộc sống thường nhật
tôi biết bạn sống ở đâu nhưng bạn có thể gửi email cho tôi địa chỉ của bạn không	TÔI BIẾT BẠN SỐNG Ở ĐÂU NHƯNG BẠN EMAIL GỬI CHO TÔI ĐỊA CHỈ CỦA BẠN CÓ THỂ	Mối quan hệ
có một buổi hòa nhạc dân gian vào tối mai	BUỔI CA NHẠC TRUYỀN THỐNG VÀO TỐI MAI	Mối quan hệ
tôi gói quà cho ngài nhé	TÔI QUÀ ANH GÓI NHÉ	Cuộc sống thường nhật
tại sao bạn làm cho tôi bối rối	TẠI SAO BẠN LÀM TÔI BỐI RỐI	Mối quan hệ
tôi là bạn của cô ấy	BẠN CỦA CÔ ẤY	Công việc
mẹ dịu dàng hỏi con rằng con có đói không	MẸ TÔI HỎI DỊU DÀNG ĐÓI KHÔNG	Cuộc sống thường nhật
eq là gì bạn có thể chia sẻ được không	EQ GÌ BẠN CHIA SẺ ĐƯỢC KHÔNG	Mối quan hệ
đoàn thám hiểm đi bộ xuyên qua một khu rừng thưa vắng	ĐOÀN THÁM HIỂM ĐI BỘ XUYÊN QUA KHU RỪNG THƯA VẮNG	Du lịch
vào mùa hè sầu riêng là loại trái cây được nhiều người yêu thích	MÙA HÈ SẦU RIÊNG LÀ TRÁI CÂY NHIỀU NGƯỜI YÊU THÍCH	Cuộc sống thường nhật
có dấu chấm nào sau  com  không	COM DẤU CÓ KHÔNG	Công việc
gia đình tôi có tất cả 6 thành viên sống rất hòa thuận	GIA ĐÌNH TÔI TẤT CẢ THÀNH VIÊN 6 SỐNG HOÀ THUẬN	Mối quan hệ
hôm nay là sinh nhật chồng tôi	HÔM NAY CHỒNG TÔI SINH NHẬT	Văn hóa và Giáo dục
chúng ăn lá và ngày càng lớn hơn	CHÚNG LÁ ĂN LỚN DẦN	Cuộc sống thường nhật
tôi có thể biết ngày giao hàng xác định không	NGÀY GIAO HÀNG CHÍNH XÁC BIẾT MUỐN ĐƯỢC KHÔNG	Công việc
tuần trước thời tiết rất tệ	TUẦN TRƯỚC THỜI TIẾT RẤT TỆ	Mối quan hệ
tuyệt vời bạn có cần tôi ký bất cứ điều gì không	TUYỆT VỜI BẠN TÔI CẦN KÝ ĐIỀU GÌ KHÔNG	Tài chính
nó đây rồi nó đang ở trước mặt các bạn	NÓ ĐÂY Ở TRƯỚC MẶT CÁC BẠN KÌA	Cuộc sống thường nhật
hắn ta chỉ im lặng và cười nhếch mép một cách đầy bí ẩn	HẮN TA IM LẶNG CƯỜI NHẾCH MÉP BÍ ẨN	Thái độ và Cảm xúc
khi nào vòng playoffs sẽ bắt đầu	VÒNG THI KHI NÀO BẮT ĐẦU VẬY	Mối quan hệ
gia đình tôi thường sum họp vào dịp tết	TÔI GIA ĐÌNH DỊP TẾT SUM HỌP	Mối quan hệ
đừng vì những chuyện nhỏ nhặt mà làm thành chuyện lớn nhé	CHUYỆN NHỎ BIẾN THÀNH CHUYỆN LỚN KHÔNG	Mối quan hệ
bạn có sách giáo khoa nào giúp nâng cao kỹ năng đọc của học sinh không	BẠN SÁCH GIÁO KHOA NÀO HỌC SINH KỸ NĂNG ĐỌC NÂNG CAO GIÚP CÓ KHÔNG	Cuộc sống thường nhật
tôi muốn mở một tài khoản tiết kiệm lãi suất bây giờ là bao nhiêu	TÔI TÀI KHOẢN TIẾT KIỆM MỞ MUỐN BÂY GIỜ LÃI SUẤT BAO NHIÊU	Tài chính
tôi không cần xe hơi tôi đi bộ đến nơi làm việc	TÔI XE Ô TÔ KHÔNG CẦN TÔI ĐI BỘ ĐẾN LÀM VIỆC	Mối quan hệ
khá tốt xin lỗi có nơi nào đáng quan tâm không	TÔI ỔN NƠI THAM QUAN ĐÁNG CÓ KHÔNG	Du lịch
vâng đây	ĐÂY	Mối quan hệ
mọi thứ đều tuyệt vời tôi vừa trở về từ văn phòng của tôi	MỌI THỨ TUYỆT VỜI TÔI VĂN PHÒNG CỦA TÔI TRỞ VỀ	Mối quan hệ
chỉ có cà phê đen	CÀ PHÊ ĐEN CÓ	Cuộc sống thường nhật
bà tôi thích xem ti vi	BÀ TÔI XEM TI VI THÍCH	Thái độ và Cảm xúc
mẹ tôi vừa mua một bao gạo mới để ăn dần	MẸ TÔI BAO GẠO MỚI MUA ĂN	Cuộc sống thường nhật
vâng đó là những gì tôi đang tìm kiếm tôi sẽ lấy phòng trong 2 ngày	ĐÚNG CÁI TÔI TÌM TÔI PHÒNG THUÊ HAI NGÀY	Du lịch
bạn pháo hoa không phải đồ chơi chúng rất nguy hiểm	BẠN PHÁO HOA ĐỒ CHƠI KHÔNG CHÚNG NGUY HIỂM	Mối quan hệ
còn các chi phí khác thì sao	CHI PHÍ KHÁC CÒN THÌ SAO	Mối quan hệ
cô ấy nhăn mặt vì ánh nắng mặt trời chói chang	CÔ ẤY MẶT NHĂN VÌ MẶT TRỜI ÁNH NẮNG CHÓI CHANG	Thái độ và Cảm xúc
đúng vậy thưa ngài đây là vé của bạn chúc một ngày tốt lành	ĐÚNG VẬY ĐÂY LÀ VÉ CỦA BẠN CHÚC MỘT NGÀY TỐT	Du lịch
vậy đây có phải lần đầu tiên ông đến đài loan không	ÔNG ĐÀI LOAN ĐẾN LẦN ĐẦU TIÊN PHẢI KHÔNG	Mối quan hệ
cô có thời gian đi xem nhà với tôi không	BẠN THỜI GIAN ĐI XEM NHÀ VỚI TÔI CÓ KHÔNG	Cuộc sống thường nhật
anh ta sẽ tìm thấy nó trong một phút	ANH TA TÌM THẤY PHÚT 1	Cuộc sống thường nhật
bạn theo phe nào	BẠN THEO PHE NÀO	Mối quan hệ
bé na đang chăm chỉ tập viết những chữ cái đầu tiên	BÉ NA NHỮNG CHỮ CÁI ĐẦU TIÊN TẬP VIẾT CHĂM CHỈ	Cuộc sống học đường
ví dụ như 6 giờ	VÍ DỤ GIỜ 6	Mối quan hệ
mẹ tôi thường cho thêm rau ngò vào bát phở cho thơm	MẸ TÔI RAU MÙI THÊM NHIỀU BÁT PHỞ THƠM	Cuộc sống thường nhật
vâng bạn có thường xuyên đi không	BẠN THƯỜNG XUYÊN ĐI KHÔNG	Mối quan hệ
tôi muốn mua một chiếc xe đồ chơi cho con trai tôi	TÔI MUA CHIẾC XE ĐỒ CHƠI MỘT CHO CON TRAI TÔI MUỐN	Cuộc sống thường nhật
du khách khắp nơi đổ về tham dự lễ hội chùa hương	DU KHÁCH KHẮP NƠI LỄ HỘI CHÙA HƯƠNG THAM DỰ ĐỔ VỀ	Văn hóa và Giáo dục
nghe có vẻ thú vị khi chúng tôi đi bạn luôn thích chơi trong hộp cát	THÚ VỊ QUÁ KHI CHÚNG TA ĐI CHƠI BẠN CHƠI BÓNG RỔ THÍCH	Cuộc sống thường nhật
tất nhiên tôi đã sắp xếp vào 10 giờ sáng mai	TÔI SẮP XẾP 10 GIỜ SÁNG MAI RỒI	Công việc
bà tôi tuy đã già nhưng vẫn còn rất tinh mắt đọc báo	BÀ TÔI GIÀ NHƯNG TINH MẮT ĐỌC BÁO	Sức khỏe
tại cổng của công viên	TẠI CỔNG CỦA CÔNG VIÊN	Mối quan hệ
vâng có bất kỳ khách sạn khác gần đó	ĐÓ GẦN KHÁCH SẠN KHÁC CÓ KHÔNG	Du lịch
chiếc hộp này dùng để đựng những món đồ trang sức nhỏ	CHIẾC HỘP NÀY ĐỰNG TRANG SỨC NHỎ	Cuộc sống thường nhật
em bé khóc lóc và đòi mẹ mua cho đồ chơi	EM BÉ MẸ ĐÒI ĐỒ CHƠI MUA NHIỀU	Thái độ và Cảm xúc
có chuyện gì vậy sally	CHUYỆN GÌ VẬY SALLY	Mối quan hệ
bến xe mỹ đình lúc nào cũng đông đúc người qua lại	BẾN XE MỸ ĐÌNH L NGƯỜI QUA LẠI NHIỀU	Du lịch
tất nhiên tôi có thứ hai hoặc thứ ba có sẵn ngày nào là tốt nhất cho bạn	TÔI THỨ HAI HOẶC THỨ BA CÓ TỐT NHẤT CHO BẠN NGÀY NÀO	Công việc
gia đình tôi thường ăn gà tây vào dịp lễ tạ ơn	GIA ĐÌNH TÔI GÀ TÂY ĂN DỊP LỄ CẢM ƠN	Văn hóa và Giáo dục
bạn chưa từng vào quán bar đồng tính bao giờ à	BẠN QUÁN RƯỢU ĐỒNG TÍNH VÀO CHƯA À	Mối quan hệ
tốt chúc may mắn tôi hy vọng tất cả sẽ tốt đẹp cho bạn vào ngày mai	CHÚC MAY MẮN TÔI HY VỌNG TẤT CẢ TỐT ĐẸP CHO BẠN NGÀY MAI	Công việc
vâng cứ như vậy đi	ĐÚNG NHƯ THẾ	Cuộc sống thường nhật
tôi chỉ nghĩ anh ta xứng đáng với điều đó	TÔI NGHĨ BẠN PHÙ HỢP VỚI ĐIỀU ĐÓ	Mối quan hệ
um tốt thực sự chúng tôi đã có một thời gian tuyệt vời vào đêm qua anh ấy thật tuyệt	TỐI QUA BỌN TÔI BUỔI TỐI TUYỆT VỜI CÓ ANH ẤY TUYỆT	Mối quan hệ
đây là chìa khóa của bạn giờ trả phòng là buổi trưa	CHÌA KHÓA CỦA BẠN ĐÂY PHÒNG TRẢ GIỜ BUỔI TRƯA	Du lịch
tôi chỉ muốn cho bạn những tin tức tốt	TÔI CHỈ MUỐN BÁO BẠN MỘT TIN VUI THÔI	Mối quan hệ
chúng tôi có thể có nó cho bạn tại thời điểm đó	CHÚNG TÔI NÓ CÓ CHO BẠN LÚC ĐÓ CÓ THỂ	Công việc
bánh chưng được làm từ gạo nếp đậu xanh và thịt lợn	BÁNH TRƯNG ĐƯỢC GẠO NẾP ĐẬU XANH THỊT LỢN LÀM	Văn hóa và Giáo dục
tôi chỉ cần kiểm tra dầu bạn có thể xem lốp xe	TÔI KIỂM TRA DẦU BẠN XEM LỐP XE CÓ THỂ	Cuộc sống thường nhật
vâng tất nhiên bạn có thích một chiếc vòng cổ ngọc bích	BẠN CHIẾC VÒNG CỔ VÀNG THÍCH	Cuộc sống thường nhật
tôi khuyên bạn nên thưởng thức món ăn trong khi nó nóng	TÔI KHUYÊN BẠN ĂN MÓN ĂN KHI NÓ NÓNG NÊN	Cuộc sống thường nhật
tôi tưởng họ thả anh rồi	TÔI HỌ ANH THẢ TƯỞNG	Chính trị
tôi hy vọng như vậy cảm ơn bạn một lần nữa vì món quà thú vị của bạn	TÔI HY VỌNG CẢM ƠN VÌ MÓN QUÀ CỦA BẠN THÚ VỊ	Mối quan hệ
giờ thì cất khay đi được không	BÂY GIỜ KHAY CẤT ĐI ĐƯỢC KHÔNG	Cuộc sống thường nhật
cô ấy đã đăng quang hoa hậu trong cuộc thi sắc đẹp quốc gia	CÔ ẤY HOA HẬU ĐĂNG QUANG TRONG CUỘC THI SẮC ĐẸP QUỐC GIA	Văn hóa và Giáo dục
thời gian bạn ở mỹ thế nào	THỜI GIAN BẠN MỸ THẾ NÀO	Văn hóa và Giáo dục
đứng trên đồi cao nhìn xuống cánh đồng lúa xanh bát ngát	BẠN ĐỒI CAO ĐỨNG CÁNH ĐỒNG LÚA XANH NHÌN XUỐNG	Du lịch
rất hân hạnh tạm biệt chúc ngủ ngon	VUI TẠM BIỆT CHÚC NGỦ NGON	Du lịch
đây rồi	ĐÂY RỒI	Cuộc sống thường nhật
bà có thể ở lại thêm vài phút để thảo luận về dự án của bà với tôi được không	BÀ Ở LẠI VÀI PHÚT THÊM DỰ ÁN CỦA BÀ THẢO LUẬN VỚI TÔI ĐƯỢC KHÔNG	Công việc
vâng họ đã giảm 30	HỌ 30 GIẢM RỒI	Cuộc sống thường nhật
mỗi dịp hè cả gia đình tôi lại về quê thăm ông bà	MÙA HÈ GIA ĐÌNH TÔI QUÊ VỀ ÔNG BÀ THĂM	Cuộc sống thường nhật
và anh định ở lại hoa kỳ bao lâu	ANH Ở LẠI MĨ LÂU BAO NHIÊU	Thái độ và Cảm xúc
vâng đó là nơi có thể mua được thực phẩm lành mạnh hơn	ĐÓ NƠI THỰC PHẨM KHỎE MẠNH MUA ĐƯỢC	Cuộc sống thường nhật
tôi chỉ thích ngủ như một con mèo lười biếng	TÔI NGỦ MÈO LƯỜI MỘT CON NHƯ THÍCH CHỈ	Mối quan hệ
bàn ghế trong lớp học đã được sắp xếp ngay ngắn	BÀN GHẾ LỚP HỌC SẮP XẾP NGAY NGẮN	Cuộc sống học đường
tôi gọi để xem anh đã quyết định chưa anh là người chúng tôi đang tìm kiếm	TÔI GỌI HỎI ANH QUYẾT ĐỊNH CHƯA ANH NGƯỜI CHÚNG TÔI TÌM	Công việc
bạn muốn loại sô cô la nào	BẠN MUỐN SÔ CÔ LA LOẠI NÀO	Cuộc sống thường nhật
anh ấy có khả năng lãnh đạo và giải quyết vấn đề rất tốt	ANH ẤY LÃNH ĐẠO VẤN ĐỀ GIẢI QUYẾT TỐT	Công việc
chiếc quần bò này rất hợp với phong cách của bạn	CHIẾC QUẦN BÒ NÀY PHONG CÁCH CỦA BẠN RẤT HỢP	Cuộc sống thường nhật
đi xem kịch thì sao	KỊCH ĐI XEM THẾ NÀO	Mối quan hệ
cái này	CÁI NÀY À	Cuộc sống thường nhật
vâng tôi đang theo anh	TÔI BẠN THEO	Du lịch
chắc chắn rồi	CHẮC CHẮN	Cuộc sống thường nhật
đàn chim én bay lượn trên bầu trời báo hiệu mùa xuân về	TRÊN BẦU TRỜI MÙA XUÂN BÁO HIỆU VỀ ĐÀN CHIM ÉN BAY LƯỢN	Cuộc sống thường nhật
chuyến công tác thế nào	CHUYẾN CÔNG TÁC THẾ NÀO	Công việc
sáu giờ rưỡi tối nay	TỐI NAY 6 GIỜ 30	Mối quan hệ
làm con cái phải luôn biết hiếu thảo với cha mẹ	CHA MẸ CON CÁI HIẾU THẢO BIẾT LUÔN	Mối quan hệ
không đó là đội nhật bản	KHÔNG ĐÓ ĐỘI NHẬT BẢN	Mối quan hệ
len rất tuyệt khi trời lạnh	KHI LẠNH LEN TUYỆT VỜI	Cuộc sống thường nhật
được thôi tôi sẽ nhận cảm ơn bạn rất nhiều vì đã giúp đỡ	OK TÔI NHẬN CẢM ƠN NHIỀU VÌ GIÚP ĐỠ	Cuộc sống thường nhật
tôi sẽ thích làm việc với bạn chúc một ngày tuyệt vời	TÔI LÀM VIỆC BẠN RẤT MONG CHÚC NGÀY TỐT LÀNH	Công việc
nhưng anh có thể cho tôi biết khi nào anh ấy trở lại không	ANH ẤY QUAY LẠI KHI NÀO NÓI TÔI BIẾT CÓ THỂ ANH NHƯNG KHÔNG	Công việc
có phải vậy không tôi không biết điều đó	CÓ PHẢI KHÔNG TÔI KHÔNG BIẾT	Cuộc sống thường nhật
hãy xem trò chơi mới này tôi đã mua ngày hôm nay	HÔM NAY XEM TRÒ CHƠI MỚI TÔI MUA LUÔN	Mối quan hệ
mọi người kinh ngạc khi thấy con trăn khổng lồ trong vườn thú	MỌI NGƯỜI NGẠC NHIÊN CON TRĂN KHỔNG LỒ TRONG VƯỜN THÚ	Cuộc sống thường nhật
cụ đồ xưa thường dạy chữ nho cho học trò trong làng	CỤ ĐỒ XƯA DẠY CHỮ HỌC TRÒ TRONG LÀNG	Văn hóa và Giáo dục
con cọp là loài động vật hoang dã cần được bảo vệ	CON CỌP ĐỘNG VẬT LOÀI HOANG DÃ HIẾM CÓ BẢO VỆ CẦN	Văn hóa và Giáo dục
chú mèo của tôi thích nằm ngủ ở trong chiếc hộp	TỘI CHÚ MÈO CHIẾC HỘP NẰM NGỦ THÍCH Ở TRONG	Cuộc sống thường nhật
anh ta uống bia nhiều	ANH TA BIA UỐNG NHIỀU	Thái độ và Cảm xúc
cậu bé hét lên sung sướng khi thấy mẹ về	CẬU BÉ HÉT LÊN SUNG SƯỚNG KHI THẤY MẸ VỀ	Thái độ và Cảm xúc
điều này cần giặt khô bạn có thể loại bỏ vết bẩn này mà không làm hại vải	CÁI NÀY GIẶT KHÔ CẦN BẠN VẾT BẨN NÀY TẨY VẢI HỎNG KHÔNG ĐƯỢC KHÔNG	Cuộc sống thường nhật
bạn cũng yêu tôi	BẠN YÊU TÔI CŨNG	Mối quan hệ
quần đảo hoàng sa là một phần lãnh thổ không thể tách rời của việt nam	HOÀNG SA QUẦN ĐẢO LÀ LÃNH THỔ ĐẤT ĐAI 1 PHẦN CỦA VIỆT NAM TÁCH RỜI CHIA TÁCH KHÔNG	Chính trị
học sinh cần tập trung để tiếp thu bài giảng hiệu quả	HỌC SINH TẬP TRUNG HỌC CẦN BÀI GIẢNG TIẾP THU HIỂU BÀI TỐT	Văn hóa và Giáo dục
bạn có biết bạn sẽ cách sân bay bao xa lúc 5 giờ không	BẠN BIẾT 5 GIỜ SÂN BAY CÁCH XA BAO NHIÊU	Mối quan hệ
vâng xin vui lòng bạn có bất kỳ vị trí tuyển dụng cho đêm nay	VÂNG LÀM ƠN TỐI NAY PHÒNG TRỐNG CÒN KHÔNG	Du lịch
chúng ta không nên nhận đồ từ người lạ để đảm bảo an toàn	CHÚNG TA NGƯỜI LẠ NHẬN ĐỒ KHÔNG NÊN ĐỂ ĐẢM BẢO AN TOÀN	Cuộc sống thường nhật
bạn bị đau răng bao lâu rồi	BẠN RĂNG ĐAU LÂU THỜI GIAN BAO NHIÊU	Sức khỏe
lời hát ru của mẹ đã đưa tôi vào giấc ngủ êm đềm	MẸ HÁT RU GIÚP TÔI NGỦ NGON	Mối quan hệ
chắc chắn đó sẽ là niềm vui của tôi	TÔI VUI CHẮC CHẮN	Công việc
khá khó khăn còn bạn thì sao	KHÓ KHĂN KHÁ BẠN CÒN SAO	Cuộc sống học đường
cậu ấy học giỏi nhưng tính tình lại rất khiêm tốn	CẬU ẤY HỌC GIỎI NHƯNG TÍNH TÌNH THÁI ĐỘ TÍNH CÁCH KHIÊM TỐN	Mối quan hệ
sao chúng ta không xem mấy đứa trẻ học về bản đồ nhỉ	CHÚNG TA XEM TRẺ EM BẢN ĐỒ HỌC KHÔNG TẠI SAO	Cuộc sống thường nhật
điều đó sẽ làm cho tôi cảm thấy hạnh phúc trở lại	ĐIỀU ĐÓ CHO TÔI CẢM THẤY HẠNH PHÚC LẠI	Thái độ và Cảm xúc
bạn đã mua gì	BẠN MUA GÌ	Cuộc sống thường nhật
vâng tôi đã đọc nó một cách cẩn thận	VÂNG TÔI ĐỌC KỸ RỒI	Tài chính
nhiều hoạt động ý nghĩa diễn ra trong tuần lễ người điếc thế giới	HOẠT ĐỘNG Ý NGHĨA DIỄN RA NHIỀU TRONG TUẦN LỄ NGƯỜI ĐIẾC THẾ GIỚI	Văn hóa và Giáo dục
sáu bước	BƯỚC 6	Sức khỏe
tại sao bạn không học lại lớp vào năm tới	BẠN KHÓA ĐÓ NĂM SAU HỌC LẠI SAO KHÔNG	Cuộc sống học đường
chắc chắn những gì tôi có thể làm cho bạn	CHẮC CHẮN TÔI CHO BẠN LÀM GÌ	Công việc
họ đi đâu	HỌ ĐI ĐÂU	Mối quan hệ
vâng nhưng tôi cũng có thể nói tiếng anh	VÂNG TÔI TIẾNG ANH NÓI ĐƯỢC	Công việc
đây là một vấn đề kỹ thuật rất phức tạp	ĐÂY LÀ VẤN ĐỀ KỸ THUẬT 1 PHỨC TẠP	Công việc
xin lỗi thưa ông lỗi của tôi đây là chỗ đậu xe của bạn	LỖI CỦA TÔI ĐÂY CHỖ ĐẬU XE CỦA BẠN	Cuộc sống thường nhật
chào mừng đến với công ty chúng tôi	CHÀO MỪNG BẠN CÔNG TY CHÚNG TÔI ĐẾN	Công việc
còn con gà	CÒN CON GÀ THÌ SAO	Cuộc sống thường nhật
tôi muốn một bàn cho hai người làm ơn	TÔI BÀN NGƯỜI 2 MUỐN	Cuộc sống thường nhật
rất tốt chi phí đó là bao nhiêu	RẤT TỐT CHI PHÍ BAO NHIÊU	Du lịch
tôi chắc chắn bạn sẽ thích chuyến đi việt nam là một đất nước xinh đẹp	TÔI BẠN CHUYẾN ĐI THÍCH VIỆT NAM ĐẤT NƯỚC XINH ĐẸP	Thái độ và Cảm xúc
có vẻ như một ngày may mắn cho tất cả mọi người	CÓ VẺ NGÀY MAY MẮN TẤT CẢ MỌI NGƯỜI CHO	Mối quan hệ
bạn có thể đặt nó như vậy nếu bạn thích đừng lo lắng bạn sẽ không có vấn đề gì	BẠN ĐẶT NÓ NẾU BẠN THÍCH LO LẮNG ĐỪNG BẠN VẤN ĐỀ KHÔNG CÓ	Mối quan hệ
khi nào chúng tôi có thể mong đợi bạn và con gái của bạn cho bữa tối thứ bảy tới	CHÚNG TÔI MỜI BẠN CON GÁI CỦA BẠN BỮA TỐI KHI NÀO THỨ BẢY ĐƯỢC KHÔNG	Mối quan hệ
bạn có muốn thử một chút không	BẠN THỬ MỘT CHÚT MUỐN KHÔNG	Cuộc sống thường nhật
chúng ta cần nhanh chóng khắc phục những sai sót trong bài làm	CHÚNG TA NHỮNG SAI SÓT CỦA BÀI LÀM SỬA LẠI NHANH CHÓNG CẦN	Cuộc sống học đường
tôi biết tôi sẽ làm	TÔI BIẾT TÔI LÀM SẼ	Cuộc sống thường nhật
bạn sẽ đi với tôi quá	BẠN ĐI VỚI TÔI ĐƯỢC KHÔNG	Mối quan hệ
được rồi bạn muốn nó cao bao nhiêu	RỒI BẠN MUỐN NÓ CAO BAO NHIÊU	Cuộc sống thường nhật
xin chào tôi là michelle bạn có thể cho tôi biết khi bạn cần phòng	BẠN PHÒNG CẦN KHI NÀO	Du lịch
họ rất đáng yêu	HỌ ĐÁNG YÊU	Cuộc sống thường nhật
không bạn có muốn đi làm một cái gì đó	BẠN ĐI LÀM CÁI GÌ	Mối quan hệ
anh ấy thế nào	ANH ẤY THẾ NÀO	Thái độ và Cảm xúc
giọng nói ấm áp của mẹ luôn khiến tôi cảm thấy bình yên	MẸ GIỌNG NÓI ẤM ÁP KHIẾN TÔI CẢM THẤY BÌNH YÊN	Mối quan hệ
anh ấy nói những lời làm tổn thương cô ấy	ANH ẤY NHỮNG LỜI NÓI LÀM CÔ ẤY TỔN THƯƠNG	Thái độ và Cảm xúc
thật xấu hổ sẽ có buổi biểu diễn tương tự vào tối mai chứ	THẬT XẤU HỔ BỘ PHIM GIỐNG NHAU TỐI MAI CÓ CHỨ	Mối quan hệ
bác sĩ khuyên tôi nên ăn vừa đủ để giữ gìn sức khỏe	BÁC SĨ TÔI KHUYÊN SỨC KHOẺ GIỮ GÌN ĂN VỪA ĐỦ	Sức khỏe
bà cụ già yếu nên đôi lúc có vẻ như bị mất trí	BÀ CỤ GIÀ YẾU MẤT TRÍ THỈNH THOẢNG CÓ	Sức khỏe
chắc chắn tôi rất muốn nhưng hãy để tôi trả tiền vé lần này đến lượt tôi	LẦN NÀY TÔI VÉ TRẢ TIỀN MUỐN CHẮC CHẮN	Mối quan hệ
tối muộn	TỐI MUỘN À	Mối quan hệ
ok bạn muốn tôi đặt chúng vào chiếc xe nào	BẠN TÔI MUỐN ĐẶT CHIẾC XE NÀO	Mối quan hệ
tôi đang ở phòng 215	TÔI PHÒNG 215 Ở	Du lịch
các mùa như thế nào trong thành phố của bạn	THÀNH PHỐ BẠN MÙA NHƯ THẾ NÀO	Mối quan hệ
tôi cho rằng ở nước ngoài lúc đầu rất khó khăn phải không	TÔI ĐOÁN SỐNG NƯỚC NGOÀI LÚC ĐẦU KHÓ KHĂN LẮM ĐÚNG KHÔNG	Mối quan hệ
bungari nổi tiếng khắp thế giới với những thung lũng hoa hồng	BUN GA RI NỔI TIẾNG KHẮP THẾ GIỚI VỚI NHỮNG THUNG LŨNG VƯỜN HOA HỒNG	Du lịch
mùi thơm quá	MÙI THƠM	Cuộc sống thường nhật
vâng bữa tối đã sẵn sàng	BỮA TỐI SẴN SÀNG RỒI	Cuộc sống thường nhật
vâng tôi có thể làm gì cho ngài	NGÀI TÔI CHO LÀM GÌ	Cuộc sống thường nhật
cái này là gì vậy	CÁI NÀY CÁI GÌ	Cuộc sống thường nhật
mỗi người đều có một tên riêng để phân biệt với người khác	MỖI NGƯỜI TÊN RIÊNG CÓ TÊN NGƯỜI KHÁC PHÂN BIỆT	Văn hóa và Giáo dục
todd em rất vui vì bạn đã gọi	BẠN GỌI EM VUI	Mối quan hệ
ngày kia là ngày kỷ niệm 	NGÀY KIA NGÀY KỶ NIỆM	Du lịch
mẹ tôi vừa mua một bộ bát sứ rất đẹp	MẸ TÔI BÁT SỨ BỘ 1 RẤT ĐẸP MUA	Cuộc sống thường nhật
chúng tôi có các dịch vụ vận chuyển khác nhau	CHÚNG TÔI DỊCH VỤ VẬN CHUYỂN KHÁC NHAU	Du lịch
bạn nghĩ gì về chiếc váy này bạn có nghĩ rằng nó phù hợp với tôi	BẠN CHIẾC VÁY NÀY THẤY THẾ NÀO TÔI HỢP CÓ KHÔNG	Cuộc sống thường nhật
ôi trời anh không sao chứ	ÔI ANH KHÔNG SAO	Sức khỏe
tôi sẽ tưới phần còn lại của khu vườn	TÔI KHU VƯỜN CÒN LẠI TƯỚI	Cuộc sống thường nhật
quả hồng này còn xanh nên ăn có vị rất chát	QUẢ HỒNG NÀY CÒN XANH NÊN ĂN CHÁT	Cuộc sống thường nhật
thật tốt khi bạn đến đây mời ngồi hãy tự nhiên như ở nhà	KHI BẠN ĐẾN TỐT MỜI NGỒI TỰ NHIÊN NHƯ Ở NHÀ	Mối quan hệ
bạn có sống ở pasadena không	BẠN SỐNG Ở ĐÂY À	Cuộc sống thường nhật
đường hàng không là phương tiện di chuyển nhanh nhất giữa các quốc gia	ĐƯỜNG HÀNG KHÔNG PHƯƠNG TIỆN DI CHUYỂN NHANH NHẤT GIỮA CÁC QUỐC GIA	Du lịch
ông có thể cho tôi biết bản chất của vấn đề không thưa ông	ÔNG TÔI CHO BIẾT SỰ THẬT CỦA VẤN ĐỀ CÓ KHÔNG	Du lịch
mái nhà lợp ngói đỏ tươi trông thật đẹp mắt	MÁI NHÀ NGÓI ĐỎ TƯƠI TRÔNG ĐẸP	Cuộc sống thường nhật
nhưng bây giờ tôi đã học được một cách khác giờ tôi có một ý kiến thực tế hơn	NHƯNG BÂY GIỜ TÔI HỌC KHÁC RỒI GIỜ TÔI Ý KIẾN THỰC TẾ	Văn hóa và Giáo dục
tạm biệt cho đến lúc đó tôi hứa rằng bạn sẽ làm tốt sau khi chúng ta gặp nhau	TẠM BIỆT ĐẾN LÚC ĐÓ TÔI HỨA BẠN LÀM TỐT SAU KHI CHÚNG TA GẶP NHAU	Thái độ và Cảm xúc
không tôi đi phương tiện giao thông công cộng nó an toàn hơn	KHÔNG TÔI PHƯƠNG TIỆN GIAO THÔNG CÔNG CỘNG ĐI NÓ AN TOÀN HƠN	Mối quan hệ
thẻ ghi nợ sẽ ổn thôi	THẺ VIẾT NỢ ỔN RỒI	Du lịch
ồ vâng nhiều người trung quốc thích mặc cả nó xảy ra ở hầu hết mọi nơi	NHIỀU NGƯỜI TRUNG QUỐC MẶC CẢ THÍCH NÓ NƠI TẤT CẢ XẢY RA	Mối quan hệ
taxi này có bị bắt không	CHIẾC TAXI NÀY NGƯỜI KHÁC ĐẶT CHƯA	Cuộc sống thường nhật
